Emotion,Min Acousticness,Max Acousticness,Min Danceability,Max Danceability,Min Energy,Max Energy,Min Instrumentalness,Max Instrumentalness,Min Key,Max Key,Min Liveness,Max Liveness,Min Loudness (dB),Max Loudness (dB),Min Mode,Max Mode,Min Speechiness,Max Speechiness,Min Tempo (BPM),Max Tempo (BPM),Min Time Signature,Max Time Signature,Min Valence,Max Valence\
Happy,0.25,0.4,0.75,0.9,0.7,0.85,0.01,0.05,3,7,0.1,0.2,-7,-4,1,1,0.01,0.05,115,130,4,4,0.75,0.9\
Sad,0.6,0.8,0.3,0.45,0.2,0.4,0.3,0.5,0,5,0.1,0.2,-10,-7,0,0,0.05,0.1,70,85,4,4,0.2,0.4\
Angry,0.01,0.1,0.35,0.5,0.85,0.95,0.01,0.05,5,10,0.2,0.3,-6,-3,0,0,0.05,0.1,130,150,4,4,0.1,0.3\
Calm,0.75,0.9,0.45,0.6,0.2,0.4,0.4,0.6,0,4,0.05,0.1,-15,-10,1,1,0.01,0.05,60,80,3,3,0.6,0.75\
Excited,0.1,0.25,0.75,0.85,0.8,0.95,0.01,0.05,3,8,0.1,0.2,-5,-3,1,1,0.01,0.05,120,140,4,4,0.75,0.85\
Love,0.4,0.6,0.6,0.75,0.5,0.7,0.05,0.2,2,6,0.05,0.15,-9,-6,1,1,0.05,0.1,100,120,4,4,0.7,0.85\
Fear,0.1,0.25,0.3,0.5,0.7,0.85,0.1,0.2,1,6,0.2,0.3,-9,-6,0,0,0.1,0.15,100,120,4,4,0.2,0.4\
Hopeful,0.3,0.5,0.65,0.75,0.6,0.7,0.05,0.1,2,6,0.05,0.15,-8,-6,1,1,0.01,0.05,100,120,4,4,0.7,0.8\
Lonely,0.65,0.8,0.25,0.4,0.25,0.45,0.3,0.5,0,5,0.05,0.2,-10,-7,0,0,0.05,0.1,70,85,4,4,0.2,0.35\
Joy,0.3,0.45,0.75,0.9,0.7,0.85,0.01,0.05,4,7,0.1,0.2,-6,-4,1,1,0.01,0.05,120,135,4,4,0.8,0.9\
Anxiety,0.1,0.25,0.3,0.5,0.7,0.85,0.05,0.1,2,6,0.2,0.3,-9,-6,0,0,0.1,0.15,100,125,4,4,0.25,0.4\
Peaceful,0.7,0.9,0.45,0.6,0.25,0.45,0.3,0.5,0,4,0.05,0.1,-12,-9,1,1,0.01,0.05,70,90,3,4,0.6,0.75\
Confident,0.25,0.4,0.65,0.8,0.7,0.85,0.01,0.05,3,7,0.05,0.1,-6,-4,1,1,0.01,0.05,110,130,4,4,0.7,0.85\
Tense,0.1,0.25,0.35,0.5,0.75,0.9,0.01,0.05,4,8,0.1,0.2,-9,-6,0,0,0.05,0.1,120,140,4,4,0.25,0.4\
Nostalgic,0.5,0.7,0.45,0.6,0.4,0.6,0.2,0.4,0,5,0.05,0.2,-8,-6,1,1,0.05,0.1,85,105,4,4,0.4,0.6\
Curious,0.2,0.4,0.55,0.7,0.5,0.7,0.05,0.15,2,6,0.05,0.1,-7,-5,1,1,0.01,0.05,110,130,4,4,0.55,0.7\
Frustrated,0.15,0.3,0.4,0.6,0.6,0.8,0.05,0.1,1,5,0.15,0.25,-10,-7,0,0,0.05,0.1,95,115,4,4,0.3,0.45\
Relaxed,0.65,0.85,0.55,0.7,0.3,0.5,0.3,0.5,0,4,0.05,0.15,-12,-9,1,1,0.01,0.05,80,100,3,4,0.5,0.7\
Bored,0.6,0.8,0.3,0.5,0.3,0.5,0.4,0.6,0,5,0.05,0.15,-12,-8,0,0,0.05,0.1,70,90,4,4,0.3,0.5\
Surprised,0.1,0.25,0.65,0.8,0.7,0.9,0.01,0.05,2,7,0.15,0.25,-7,-5,1,1,0.05,0.1,100,120,4,4,0.6,0.8\
Embarrassed,0.35,0.5,0.5,0.7,0.3,0.5,0.05,0.15,1,6,0.1,0.2,-9,-6,0,0,0.05,0.1,85,105,4,4,0.4,0.6\
Grateful,0.4,0.6,0.6,0.75,0.5,0.7,0.05,0.15,3,6,0.1,0.2,-8,-5,1,1,0.05,0.1,100,120,4,4,0.6,0.75\
Guilty,0.45,0.65,0.3,0.5,0.2,0.4,0.3,0.5,0,5,0.15,0.3,-12,-8,0,0,0.05,0.1,70,85,4,4,0.2,0.4\
Proud,0.2,0.4,0.65,0.8,0.6,0.8,0.01,0.05,3,7,0.05,0.15,-7,-4,1,1,0.01,0.05,110,130,4,4,0.6,0.8\
Scared,0.05,0.2,0.3,0.45,0.5,0.7,0.1,0.25,1,6,0.2,0.35,-10,-7,0,0,0.05,0.1,90,110,4,4,0.15,0.3\
